masked_dep_acct_num,masked_bank_num,masked_account_type,masked_id,masked_product_code,bucket_days_since_open,number_of_owners,total_deposit_amount,item_amt,deposit_dt,channel,relationship_balance,oao_flg,onus_ind,treasury_check_ind,heloc_ind,rdis,max_deposit_amount30d,total_deposit_item_count,prevtran1,prevtran2,prevtran3,prevtran4,prevtran5,prevtran6,prevtran7,prevtran8,prevtran9,prevtran10,prevtrandate1,prevtrandate2,prevtrandate3,prevtrandate4,prevtrandate5,prevtrandate6,prevtrandate7,prevtrandate8,prevtrandate9,prevtrandate10,drawee_sum,drawee_cnt,drawee_avg,drawee_max,drawee_min,RDI_DT,RETURN_REASON,return_target,over_draft_amount,month_num
17251,0,1,8830,6,0-1000,1,1101.34,1101.34,2024-09-18,TELLER,4421,N,F,N,N,3.0,4852.87,2,1111.2,583.88,,,,,,,,,7.0,9.0,,,,,,,,,,,,,,2024-09-23,1.0,1,0,9
15815,0,0,16726,1,0-1000,2,412.53,412.53,2024-02-14,TELLER,43672,N,F,N,N,,21010.18,1,318.31,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,0,0,2
22909,4,0,8336,0,5000+,1,732.75,149.23,2024-09-27,TELLER,18894,N,F,N,N,,1110.19,1,196.9,,,,,,,,,,28.0,,,,,,,,,,2510.33,1.0,2510.33,2510.33,2510.33,,,0,0,9
22906,0,0,23842,1,5000+,2,914.39,914.39,2024-10-28,TELLER,194754,N,F,N,N,,10325.2,3,193.11,724.81,2504.36,1494.93,2256.02,625.28,1593.28,100.0,,,7.0,8.0,20.0,48.0,65.0,80.0,82.0,99.0,,,,,,,,,,0,0,10
4221,0,2,3047,4,5000+,1,291.25,291.25,2024-09-20,TELLER,14785,N,F,N,N,,1179.58,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9
204,0,0,25424,1,5000+,2,100.56,100.01,2024-06-05,TELLER,2095,N,F,N,N,2.0,443.16,1,273.86,100.0,232.29,769.33,100.0,,,,,,7.0,32.0,33.0,41.0,49.0,,,,,,,,,,,,,0,1,6
8209,0,0,3966,8,5000+,0,828.1,828.1,2024-04-04,TELLER,52513,N,F,N,N,,1086.72,2,1038.45,891.29,399.67,1329.69,243.98,2721.23,1810.69,,,,7.0,25.0,33.0,48.0,54.0,55.0,60.0,,,,1112.94,3.0,370.98,370.98,370.98,,,0,0,4
21926,0,1,14146,1,5000+,1,964.59,964.59,2024-11-10,TELLER,55631,N,T,N,N,0.0,964.59,1,,,,,,,,,,,,,,,,,,,,,2777.32,2.0,1388.66,1971.71,978.02,2024-11-15,1.0,1,0,11
10494,0,0,17880,1,2000-5000,1,10032.07,10032.07,2024-06-04,TELLER,22959,N,F,N,N,,10032.07,3,3292.0,412.54,1098.88,3032.93,,,,,,,2.0,8.0,26.0,55.0,,,,,,,,,,,,,,0,0,6
6623,0,1,5721,1,5000+,1,5577.02,5425.29,2024-08-20,TELLER,5787,N,F,N,N,,5425.29,2,13434.83,3627.84,1141.36,698.42,,,,,,,28.0,31.0,34.0,40.0,,,,,,,,,,,,,,0,0,8
687,0,0,14399,8,0-1000,0,1257.38,1257.38,2024-11-01,TELLER,126748,N,F,N,N,,2249.48,7,2175.47,1495.27,,,,,,,,,3.0,9.0,,,,,,,,,5495.28,3.0,1831.76,2882.58,1164.01,,,0,0,11
3948,0,0,31641,8,5000+,2,1199.85,848.41,2024-04-04,TELLER,36147,N,F,N,N,,848.41,1,1261.72,543.0,705.73,966.13,,,,,,,1.0,19.0,27.0,35.0,,,,,,,,,,,,,,0,0,4
21278,0,1,15924,4,5000+,2,4228.56,4228.56,2024-04-01,TELLER,-99999999,N,T,N,N,0.0,4228.56,1,,,,,,,,,,,,,,,,,,,,,7843.84,4.0,1960.96,2316.69,1659.85,2024-04-06,10.0,1,0,4
6509,0,2,16284,5,2000-5000,1,7033.34,6573.69,2024-02-13,TELLER,123263,N,F,N,N,,6573.69,2,2311.28,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,0,0,2
18218,1,2,909,1,5000+,1,2995.28,2078.06,2024-11-22,TELLER,23405,N,T,N,N,,2180.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11
21098,0,0,10350,0,5000+,1,423.14,423.14,2024-08-30,TELLER,166,N,F,N,N,7.0,5730.48,1,344.67,100.0,206.14,295.7,6088.96,893.63,1920.12,525.85,,,1.0,4.0,30.0,98.0,119.0,140.0,158.0,163.0,,,,,,,,2024-09-05,10.0,1,0,8
3612,0,0,4911,8,2000-5000,1,2872.65,1206.76,2024-10-23,TELLER,71496,N,F,N,N,0.0,1527.95,1,946.31,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0,0,10
4923,0,0,11407,1,5000+,1,3839.12,1900.87,2024-08-15,TELLER,61951,N,F,N,N,,1900.87,4,2402.4,3595.78,5235.91,591.78,8320.77,,,,,,1.0,11.0,32.0,34.0,35.0,,,,,,1402.6,2.0,701.3,701.3,701.3,2024-08-23,16.0,1,0,8
16618,1,0,7453,2,5000+,1,100.56,100.01,2024-09-24,TELLER,9395,N,F,N,N,,2378.81,2,151.38,627.64,,,,,,,,,1.0,6.0,,,,,,,,,309.31,1.0,309.31,309.31,309.31,,,0,0,9
4389,3,0,13843,0,2000-5000,0,176.16,176.16,2024-09-23,TELLER,5551,N,F,N,N,,638.01,1,112.49,520.86,394.5,278.78,100.0,256.82,100.0,100.0,1335.69,921.0,7.0,26.0,28.0,36.0,48.0,59.0,68.0,72.0,101.0,109.0,,,,,,,,0,0,9
2246,0,0,808,0,5000+,2,1414.97,1414.97,2024-03-14,TELLER,23247,N,F,N,N,,1414.97,1,2075.29,270.56,609.38,229.16,360.39,,,,,,14.0,22.0,58.0,78.0,80.0,,,,,,,,,,,2024-03-19,10.0,1,0,3
12083,0,0,13422,1,5000+,1,637.8,637.8,2024-03-20,TELLER,11098,N,F,N,N,0.0,902.98,1,9339.86,601.8,490.11,120.4,4392.13,492.31,100.0,356.07,490.05,215.82,7.0,9.0,22.0,66.0,67.0,88.0,121.0,125.0,126.0,137.0,,,,,,2024-03-22,1.0,1,0,3
2623,2,1,17425,8,5000+,1,1350.27,1350.27,2024-04-11,TELLER,229942,N,T,N,N,,1350.27,1,264.33,365.41,2762.59,231.74,,,,,,,7.0,10.0,37.0,46.0,,,,,,,,,,,,,,0,0,4
24386,0,0,22692,1,0-1000,2,1623.69,1623.69,2024-03-17,TELLER,17164,N,F,N,N,,1623.69,2,1365.65,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,0,2,3
4779,0,2,21867,0,1000-2000,1,692.19,247.94,2024-04-02,TELLER,1948,N,F,N,N,,740.05,2,1053.87,168.17,164.7,1029.19,917.78,892.47,678.0,473.47,299.1,105.15,7.0,8.0,9.0,11.0,26.0,42.0,78.0,94.0,106.0,115.0,,,,,,,,0,0,4
2039,0,2,10246,2,5000+,2,568.14,568.14,2024-10-11,TELLER,4576,N,F,N,N,,3145.62,2,1540.09,888.35,2396.54,811.24,100.0,1459.77,275.12,,,,0.0,6.0,27.0,48.0,51.0,77.0,94.0,,,,,,,,,,,0,0,10
14367,0,1,11112,1,2000-5000,1,1040.44,852.06,2024-07-12,TELLER,2212,N,F,N,N,,1047.26,2,983.6,389.05,638.12,5309.27,143.0,486.98,1911.83,100.0,1653.65,883.6,2.0,24.0,35.0,49.0,61.0,64.0,66.0,74.0,91.0,93.0,,,,,,2024-07-13,10.0,1,0,7
11138,1,0,14477,1,0-1000,2,2317.98,1994.3,2024-04-04,TELLER,5772,N,F,N,N,,1994.3,1,4015.18,1053.89,4074.15,8711.59,1595.04,,,,,,7.0,18.0,35.0,36.0,44.0,,,,,,3231.94,1.0,3231.94,3231.94,3231.94,,,0,0,4
14819,0,0,9172,7,5000+,2,3032.76,1997.46,2024-11-08,TELLER,118924,N,F,N,N,,13956.09,2,7774.6,538.25,16617.36,455.6,22920.63,1350.13,8265.58,1940.98,2489.9,169.4,3.0,9.0,22.0,28.0,29.0,32.0,50.0,85.0,113.0,122.0,,,,,,,,0,0,11
10486,0,0,7099,1,2000-5000,0,356.64,103.82,2024-07-01,TELLER,8406,N,F,N,N,,18556.07,2,100.0,496.07,100.0,803.0,379.07,100.0,279.83,100.0,250.72,205.54,0.0,6.0,27.0,31.0,54.0,66.0,82.0,85.0,95.0,107.0,3625.86,7.0,517.98,755.84,354.97,2024-07-04,10.0,1,0,7
13779,0,0,26594,1,5000+,2,100.56,100.01,2024-11-12,TELLER,9220,N,F,N,N,,210.93,1,100.0,384.13,100.0,203.06,245.27,570.36,425.73,117.1,515.06,218.31,28.0,57.0,68.0,95.0,98.0,120.0,132.0,155.0,196.0,206.0,613.38,3.0,204.46,204.46,204.46,,,0,0,11
19068,0,0,7634,4,5000+,1,366.78,366.78,2024-03-26,TELLER,7633,N,F,N,N,1.0,366.78,1,154.28,100.0,136.11,486.96,100.0,206.3,359.53,100.0,100.0,425.88,2.0,26.0,62.0,79.0,108.0,118.0,130.0,133.0,144.0,145.0,,,,,,,,0,0,3
7775,0,0,21523,1,5000+,2,3266.71,2837.65,2024-02-14,TELLER,43907,N,F,N,N,1.0,2837.65,1,272.62,20125.02,9362.82,525.01,34851.97,6508.66,1633.66,1158.62,3618.22,3749.14,21.0,29.0,30.0,53.0,75.0,84.0,90.0,93.0,109.0,119.0,1996.41,1.0,1996.41,1996.41,1996.41,,,0,0,2
20176,0,0,10150,1,2000-5000,2,725.96,370.53,2024-10-25,TELLER,743,N,F,N,N,4.0,1083.67,1,102.05,196.92,,,,,,,,,14.0,24.0,,,,,,,,,,,,,,2024-11-15,9.0,1,0,10
23961,0,0,14026,1,2000-5000,2,9684.29,9684.29,2024-05-13,TELLER,74291,N,F,N,N,2.0,9684.29,1,2702.91,3185.55,2505.23,1924.21,14007.16,5058.35,6906.05,576.79,455.18,1527.16,7.0,12.0,35.0,36.0,57.0,66.0,74.0,79.0,88.0,94.0,1268.36,4.0,317.09,413.6,243.1,2024-06-05,6.0,1,0,5
4766,1,3,8544,0,5000+,1,152.06,152.06,2024-07-25,TELLER,34840,N,F,N,N,,697.29,1,100.0,1165.62,813.6,616.75,801.57,198.16,100.0,248.26,568.1,327.55,21.0,26.0,29.0,42.0,46.0,62.0,79.0,95.0,107.0,136.0,,,,,,,,0,0,7
6292,0,3,27258,12,1000-2000,1,214.31,214.31,2024-05-31,TELLER,84012,N,F,N,N,,384.86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,5
11888,1,0,11679,1,5000+,1,321.48,321.48,2024-11-17,TELLER,5300,N,F,N,N,2.0,1009.9,1,206.42,849.36,492.73,613.32,100.0,499.9,100.0,100.0,226.61,118.79,2.0,12.0,30.0,31.0,33.0,39.0,52.0,63.0,71.0,88.0,,,,,,,,0,0,11
17991,0,0,8496,1,1000-2000,1,1141.78,227.42,2024-02-26,TELLER,34570,N,F,N,N,,227.42,1,140.54,190.03,556.48,100.0,100.0,499.69,342.11,488.85,100.0,431.78,0.0,20.0,27.0,54.0,70.0,80.0,97.0,99.0,105.0,111.0,,,,,,,,0,0,2
13070,0,0,16027,0,0-1000,1,257.56,257.56,2024-05-26,TELLER,16035,N,F,N,N,1.0,1539.3,1,1478.64,6618.11,100.0,,,,,,,,0.0,9.0,26.0,,,,,,,,,,,,,2024-06-08,25.0,1,0,5
16929,0,0,12539,1,0-1000,1,959.45,959.45,2024-07-27,TELLER,12481,N,F,N,N,0.0,3242.37,1,,,,,,,,,,,,,,,,,,,,,881.32,2.0,440.66,486.51,399.13,2024-08-06,6.0,1,0,7
6193,0,0,18195,21,0-1000,2,1322.64,748.78,2024-11-27,TELLER,9877,N,F,N,N,,748.78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,11
9468,0,0,17383,0,2000-5000,2,215.99,215.99,2024-03-11,TELLER,14067,N,T,N,N,,1509.32,7,280.66,100.0,539.22,100.0,553.11,564.0,4187.48,313.52,100.0,309.84,21.0,24.0,29.0,38.0,51.0,68.0,95.0,98.0,102.0,114.0,,,,,,,,0,0,3
19868,0,0,6422,0,2000-5000,1,1177.99,789.4,2024-02-14,TELLER,13454,N,F,N,N,,4892.2,1,861.08,,,,,,,,,,0.0,,,,,,,,,,,,,,,2024-03-03,1.0,1,0,2
17978,0,0,28174,1,0-1000,2,1012.62,327.74,2024-10-01,TELLER,561,N,T,N,N,2.0,327.74,4,2406.31,119.17,222.26,287.99,2957.57,100.0,790.89,113.13,425.49,100.0,28.0,36.0,59.0,73.0,74.0,82.0,83.0,97.0,105.0,117.0,213.84,2.0,106.92,156.12,100.2,,,0,5,10
23247,0,2,943,5,5000+,1,1726.07,1726.07,2024-05-13,TELLER,4127,N,T,N,N,,1726.07,1,,,,,,,,,,,,,,,,,,,,,303.0,3.0,101.0,101.0,101.0,2024-05-20,10.0,1,0,5
12684,0,0,27510,2,5000+,1,1022.63,1022.63,2024-05-31,TELLER,12915,N,F,N,N,,2589.09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5
20538,0,0,24968,4,2000-5000,1,1356.22,1356.22,2024-10-14,TELLER,3911,N,F,N,N,,1356.22,1,,,,,,,,,,,,,,,,,,,,,965.56,1.0,965.56,965.56,965.56,2024-10-16,9.0,1,0,10
22723,1,0,4529,15,1000-2000,2,777.42,777.42,2024-06-04,TELLER,222780,N,F,N,N,,17947.75,1,388.39,171.28,691.0,1421.2,1304.68,1392.51,270.28,214.76,1836.49,1449.38,0.0,6.0,21.0,30.0,39.0,56.0,64.0,107.0,120.0,129.0,,,,,,,,0,0,6
20548,0,0,19792,0,5000+,1,2141.52,618.52,2024-09-04,TELLER,8332,N,F,N,N,4.0,736.08,1,462.06,215.38,909.62,1056.35,218.74,100.0,1052.25,1665.54,100.0,1588.64,7.0,8.0,20.0,31.0,45.0,55.0,59.0,63.0,66.0,74.0,,,,,,2024-09-06,16.0,1,0,9
23306,3,0,30693,1,5000+,2,2209.0,905.47,2024-04-24,TELLER,138019,N,F,N,N,3.0,1940.12,2,1260.22,893.74,2006.06,100.0,6321.81,,,,,,14.0,24.0,31.0,33.0,43.0,,,,,,,,,,,,,0,0,4
18363,6,0,12683,4,5000+,0,18811.32,17289.24,2024-09-16,TELLER,112166,N,F,N,N,0.0,17289.24,2,802.34,,,,,,,,,,7.0,,,,,,,,,,,,,,,2024-09-23,6.0,1,0,9
22822,0,0,4700,7,5000+,3,391.45,391.45,2024-08-26,TELLER,12745,N,F,N,N,2.0,391.45,2,205.8,260.44,118.23,100.0,778.6,193.45,344.64,,,,28.0,31.0,32.0,45.0,48.0,53.0,69.0,,,,,,,,,,,0,0,8
15849,0,1,1544,1,2000-5000,2,1572.2,1572.2,2024-08-21,TELLER,17257,N,F,N,N,,4047.49,1,,,,,,,,,,,,,,,,,,,,,628.12,1.0,628.12,628.12,628.12,2024-08-22,12.0,1,0,8
16757,0,0,4848,5,2000-5000,1,2677.04,1558.96,2024-09-17,TELLER,5005,N,F,N,N,,2296.89,1,5439.62,15413.04,465.09,12290.07,966.6,908.58,,,,,7.0,14.0,23.0,55.0,66.0,73.0,,,,,712.01,1.0,712.01,712.01,712.01,,,0,0,9
15658,0,1,21811,1,0-1000,1,12313.49,12313.49,2024-07-08,TELLER,4978,N,F,N,N,0.0,12644.95,1,5104.44,1161.94,,,,,,,,,4.0,7.0,,,,,,,,,,,,,,2024-08-02,16.0,1,0,7
14641,0,0,19647,0,0-1000,1,3029.8,3029.8,2024-04-12,TELLER,6579,N,F,N,N,,3398.79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4
16970,0,0,5741,5,5000+,4,542.13,100.01,2024-07-15,TELLER,34880,N,F,N,N,1.0,2984.86,2,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-23,1.0,1,0,7
11232,0,2,12552,0,5000+,2,480.28,480.28,2024-02-25,TELLER,5685,N,T,N,N,,1241.98,1,5743.5,122.13,100.0,333.59,420.81,374.23,142.95,194.65,367.98,127.05,5.0,23.0,39.0,62.0,71.0,73.0,96.0,114.0,131.0,150.0,,,,,,,,0,0,2
12037,0,0,28409,2,2000-5000,2,100.56,100.01,2024-10-10,TELLER,1868,N,F,N,N,,534.81,1,440.27,,,,,,,,,,7.0,,,,,,,,,,610.6,1.0,610.6,610.6,610.6,,,0,0,10
20589,0,0,31307,0,1000-2000,1,1114.26,1114.26,2024-10-24,TELLER,87520,N,F,N,N,,1114.26,1,3527.9,4722.2,,,,,,,,,5.0,12.0,,,,,,,,,,,,,,,,0,0,10
23763,0,0,31060,1,0-1000,1,985.49,985.49,2024-03-09,TELLER,14037,N,F,N,N,1.0,2779.8,2,1324.38,2144.93,145.79,11675.27,3820.76,100.0,2370.84,155.74,234.78,576.2,1.0,11.0,24.0,36.0,48.0,51.0,59.0,71.0,76.0,86.0,,,,,,2024-03-27,6.0,1,0,3
537,0,0,25576,1,1000-2000,1,2904.39,495.87,2024-08-01,TELLER,2752,N,F,Y,N,,653.01,3,469.61,,,,,,,,,,0.0,,,,,,,,,,354.05,1.0,354.05,354.05,354.05,2024-08-06,10.0,1,0,8
11579,0,0,4487,10,1000-2000,2,1312.05,1025.0,2024-05-17,TELLER,2331,N,T,N,N,,1318.43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5
17332,0,0,9243,2,5000+,2,1774.82,1726.41,2024-05-24,TELLER,36934,N,F,N,N,,1726.41,3,1965.31,3119.54,,,,,,,,,1.0,14.0,,,,,,,,,,,,,,,,0,0,5
1113,0,0,30052,1,1000-2000,1,376.19,376.19,2024-04-18,TELLER,13827,N,F,N,N,1.0,431.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-26,2.0,1,0,4
205,0,0,8451,0,0-1000,0,209.32,209.32,2024-06-11,TELLER,29804,N,T,N,N,,2899.28,1,187.49,986.31,100.0,100.0,,,,,,,4.0,13.0,18.0,29.0,,,,,,,,,,,,2024-07-04,10.0,1,0,6
21480,2,0,2886,0,2000-5000,2,963.12,365.05,2024-10-26,TELLER,7066,N,F,N,N,0.0,617.71,1,418.29,612.8,,,,,,,,,14.0,28.0,,,,,,,,,,,,,,,,0,0,10
22180,0,1,24503,1,5000+,2,2857.58,1293.08,2024-08-19,TELLER,2900,N,F,N,N,,1293.08,1,524.73,1119.8,314957.52,1116.84,,,,,,,7.0,10.0,28.0,40.0,,,,,,,,,,,,2024-08-22,1.0,1,0,8
10713,1,0,4642,0,0-1000,0,721.06,721.06,2024-11-29,TELLER,4803,N,F,N,N,0.0,2851.66,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11
2240,0,0,22763,0,2000-5000,1,2028.99,2028.99,2024-06-11,TELLER,29294,N,T,N,N,,4181.75,3,3704.09,,,,,,,,,,1.0,,,,,,,,,,1044.63,3.0,348.21,375.02,323.31,2024-06-28,10.0,1,0,6
14043,0,0,5022,0,1000-2000,1,149.04,149.04,2024-09-23,TELLER,12073,N,F,N,N,,1105.89,1,118.93,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,0,0,9
7253,0,0,17518,6,2000-5000,1,2082.42,2082.42,2024-03-25,TELLER,3924,N,F,N,N,,2082.42,1,1134.68,1354.23,8906.96,204.75,1939.61,2625.29,1691.69,1253.32,7692.89,1296.06,21.0,23.0,28.0,70.0,93.0,103.0,106.0,121.0,130.0,147.0,902.9,2.0,451.45,451.45,451.45,,,0,0,3
15542,0,1,21808,1,2000-5000,2,3440.48,3335.57,2024-05-25,TELLER,16713,N,F,N,N,1.0,3335.57,1,895.88,2143.52,3168.02,2053.39,8054.44,3451.43,,,,,5.0,15.0,31.0,34.0,36.0,37.0,,,,,,,,,,2024-05-26,6.0,1,0,5
21616,3,0,27010,9,2000-5000,0,8498.29,7334.21,2024-08-03,TELLER,876,N,F,N,N,,7334.21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8
8671,0,0,31468,1,2000-5000,1,1033.62,1033.62,2024-07-29,TELLER,8150,Y,F,N,N,,2859.62,1,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-30,1.0,1,0,7
4710,0,0,9577,1,5000+,1,869.93,869.93,2024-07-09,TELLER,3368,N,F,N,N,,869.93,1,566.15,317.16,1815.12,631.44,684.7,2378.94,218.75,127.19,2371.75,315.92,2.0,8.0,44.0,52.0,72.0,82.0,87.0,91.0,106.0,118.0,1430.5,2.0,715.25,922.51,554.55,2024-07-14,1.0,1,0,7
19786,0,0,16751,1,2000-5000,2,2592.03,1834.67,2024-11-06,TELLER,109959,N,F,N,N,,5260.17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11
19633,0,2,10205,1,2000-5000,1,1043.89,692.72,2024-07-24,TELLER,-99999999,N,F,N,N,1.0,8094.16,3,233.42,422.99,610.13,,,,,,,,0.0,28.0,53.0,,,,,,,,,,,,,2024-08-01,1.0,1,0,7
15394,0,0,19975,5,1000-2000,1,611.44,267.57,2024-11-05,TELLER,299296,N,F,N,N,0.0,267.57,2,,,,,,,,,,,,,,,,,,,,,710.52,1.0,710.52,710.52,710.52,2024-11-10,34.0,1,0,11
15804,0,0,4103,0,5000+,3,330.93,127.4,2024-02-07,TELLER,17851,N,F,N,N,1.0,847.84,2,,,,,,,,,,,,,,,,,,,,,1324.85,1.0,1324.85,1324.85,1324.85,,,0,0,2
